URL,Page Type,HTTPS Works,Mobile 320px,Mobile 768px,Desktop 1200px,Hero Section,Hero Details,Why Choose Us,Why Choose Details,Related/Cross-sell,Related Details,Testimonials,Testimonial Details,Inquire Now CTA,CTA Details,Other Buttons,Button Details,External Links,External Link Details,Internal Links,Internal Link Details,Forms,Form Details,Images,Image Details,SEO/Schema,SEO Details,Content Accuracy,Content Details,Issues Found,Priority,Tester,Date,Status

HOMEPAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://nycstemclub.local/,Landing Page,,,,,Check hero image/video loads - title displays - stats visible,Hero should have main headline and CTA button,N/A for homepage,,Check featured courses display,Should show 3-4 featured course cards with Learn More buttons,Check Trustindex widget loads,Google reviews should display with ratings,Main CTA in hero,Should link to /student-enrollment/,Navigation menu items - footer links,All nav items should open correct pages,Footer social links if any,Check Facebook/Instagram/LinkedIn links open in new tab,Logo link - nav links - footer links - course cards,All should navigate to correct pages without 404,Contact form if present,Form should validate and submit,Hero image - course card images - icons,All images load with alt text,Meta title - OG tags - Organization schema,Check page title in browser tab,Phone number - email - address - copyright year,Verify all contact info is current,,,,
http://nycstemclub.local/courses/shsat-private-tutoring/,Course Page,,,,,Hero with course title - tagline - 4 stats,Stats should show track record numbers,HIDDEN - Private Tutoring,Why Choose section should be hidden (ACF checkbox),Related SHSAT courses,Should show other SHSAT options,Trustindex widget,Reviews load in testimonials section,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=SHSAT%20Private%20Tutoring,Learn More on related cards,Related course buttons link correctly,N/A,N/A,Breadcrumbs - related course links,All navigate correctly,N/A,N/A,Featured image - stat icons - related course images,All display properly,Course schema,Check structured data,Course description - 1-on-1 format badge,Should show Private format badge,,,,

http://nycstemclub.local/course-category/shsat/,Category Page,,,,,Category header with SHSAT title,Should display category name and description,N/A for category pages,,N/A,N/A,N/A,N/A,N/A,N/A,Learn More buttons on each card,Each course card links to correct course page,N/A,N/A,All course card links - breadcrumbs,Each card opens correct course - no 404s,N/A,N/A,Course featured images - category badges,All course cards show images and SHSAT badge,N/A,N/A,All SHSAT courses listed,Verify all SHSAT courses appear in grid,,,,

http://nycstemclub.local/shsat-faq/,FAQ Page,,,,,FAQ page header,Title and intro text display,N/A,,N/A,N/A,N/A,N/A,CTA at bottom if present,Links to enrollment,N/A,N/A,N/A,N/A,Links within FAQ answers,Any internal links in answers work,N/A,N/A,Any images in FAQs,Images load if present,FAQ schema,Check for FAQ structured data,All Q&A content,Answers are accurate and helpful,,,,

SAT/ACT PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://nycstemclub.local/sat-act-test-prep/,Landing Page,,,,,Hero with SAT/ACT title and stats,Should show track record for SAT/ACT,SAT/ACT version displays,Check [why_choose_sat_act] content shows,Links to SAT and ACT courses,Should show all SAT/ACT course options,Trustindex widget,Reviews widget loads,Multiple CTAs,All go to /student-enrollment/?course_name=SAT%20ACT,Links to Digital SAT - SAT vs ACT - Enhanced ACT guides,Guide links should work,N/A,N/A,Breadcrumbs - course links - resource links,All internal navigation works,N/A,N/A,Hero image - icons,All load properly,Course schema - breadcrumb schema,Valid structured data,Program details - test info,All info current and accurate,,,,

http://nycstemclub.local/resources/sat-vs-act-2025-which-test-is-right-for-you/,Resource Page,,,,,Page title and intro,SAT vs ACT comparison title,N/A or SAT/ACT version,,Links to SAT and ACT courses,Should reference course options,If present,May have testimonials,CTAs to courses or enrollment,Should link appropriately,Links to other resources,Digital SAT - Enhanced ACT links,N/A,N/A,All internal links,Navigate correctly,N/A,N/A,Comparison charts/images,All visuals load,Article schema,Blog/article structured data,Comparison content,Info is accurate for 2025,,,,

http://nycstemclub.local/resources/changes-to-the-new-digital-sat/,Resource Page,,,,,Page title - Digital SAT info,Digital SAT guide title,N/A,,Links to SAT courses,Should reference SAT prep options,If present,May have testimonials,CTAs to SAT courses,Should link to SAT enrollment,Links to SAT vs ACT - other resources,Resource links work,N/A,N/A,All internal links,Navigate correctly,N/A,N/A,Digital SAT screenshots/images,All visuals load,Article schema,Blog/article structured data,Digital SAT changes,Info matches College Board updates,,,,

http://nycstemclub.local/whats-new-in-the-enhanced-act/,Resource Page,,,,,Page title - Enhanced ACT info,Enhanced ACT guide title,N/A,,Links to ACT courses,Should reference ACT prep options,If present,May have testimonials,CTAs to ACT courses,Should link to ACT enrollment,Links to other ACT resources,Resource links work,N/A,N/A,All internal links,Navigate correctly,N/A,N/A,ACT screenshots/images,All visuals load,Article schema,Blog/article structured data,Enhanced ACT changes,Info matches ACT.org updates,,,,

http://nycstemclub.local/courses/act-sat-foundational-course/,Course Page,,,,,Hero with course title - tagline - 4 stats,Foundational course stats,SAT/ACT version displays,Should show [why_choose_sat_act],Related SAT/ACT courses,Should show other SAT/ACT options,Trustindex widget,Reviews load,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=ACT%20SAT%20Foundational,Learn More on related - link to main SAT/ACT guide,Secondary CTA should link to /sat-act-test-prep/,N/A,N/A,Breadcrumbs - related course links,All navigate correctly,N/A,N/A,Featured image - stat icons,All display properly,Course schema,Check structured data,Course description - prerequisites,Content accurate,,,,

http://nycstemclub.local/courses/act-year-round-boot-camp/,Course Page,,,,,Hero with course title - tagline - 4 stats,ACT Year Round stats,SAT/ACT version displays,Should show [why_choose_sat_act],Related SAT/ACT courses,Should show other SAT/ACT options,Trustindex widget,Reviews load,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=ACT%20Year%20Round,Learn More on related - link to main guide,Links work correctly,N/A,N/A,Breadcrumbs - related course links,All navigate correctly,N/A,N/A,Featured image - stat icons,All display properly,Course schema,Check structured data,Schedule - duration - format,Content accurate,,,,

http://nycstemclub.local/courses/act-summer-boot-camp/,Course Page,,,,,Hero with course title - tagline - 4 stats,ACT Summer stats,SAT/ACT version displays,Should show [why_choose_sat_act],Related SAT/ACT courses,Should show other SAT/ACT options,Trustindex widget,Reviews load,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=ACT%20Summer,Learn More on related,Links work correctly,N/A,N/A,Breadcrumbs - related course links,All navigate correctly,N/A,N/A,Featured image - stat icons,All display properly,Course schema,Check structured data,Schedule - duration,Content accurate,,,,

http://nycstemclub.local/courses/sat-year-round-boot-camp/,Course Page,,,,,Hero with course title - tagline - 4 stats,SAT Year Round stats,SAT/ACT version displays,Should show [why_choose_sat_act],Related SAT/ACT courses,Should show other SAT/ACT options,Trustindex widget,Reviews load,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=SAT%20Year%20Round,Learn More on related - link to main guide,Links work correctly,N/A,N/A,Breadcrumbs - related course links,All navigate correctly,N/A,N/A,Featured image - stat icons,All display properly,Course schema,Check structured data,Schedule - duration - format,Content accurate,,,,

http://nycstemclub.local/courses/sat-summer-boot-camp/,Course Page,,,,,Hero with course title - tagline - 4 stats,SAT Summer stats,SAT/ACT version displays,Should show [why_choose_sat_act],Related SAT/ACT courses,Should show other SAT/ACT options,Trustindex widget,Reviews load,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=SAT%20Summer,Learn More on related,Links work correctly,N/A,N/A,Breadcrumbs - related course links,All navigate correctly,N/A,N/A,Featured image - stat icons,All display properly,Course schema,Check structured data,Schedule - duration,Content accurate,,,,

http://nycstemclub.local/courses/sat-private-tutoring/,Course Page,,,,,Hero with course title - tagline - 4 stats,SAT Private Tutoring stats,HIDDEN - Private Tutoring,Why Choose should be hidden,Related SAT/ACT courses,Should show other options,Trustindex widget,Reviews load,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=SAT%20Private,Learn More on related,Links work correctly,N/A,N/A,Breadcrumbs - related course links,All navigate correctly,N/A,N/A,Featured image - stat icons,All display properly,Course schema,Check structured data,1-on-1 format badge,Should show Private badge,,,,

http://nycstemclub.local/courses/act-private-tutoring/,Course Page,,,,,Hero with course title - tagline - 4 stats,ACT Private Tutoring stats,HIDDEN - Private Tutoring,Why Choose should be hidden,Related SAT/ACT courses,Should show other options,Trustindex widget,Reviews load,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=ACT%20Private,Learn More on related,Links work correctly,N/A,N/A,Breadcrumbs - related course links,All navigate correctly,N/A,N/A,Featured image - stat icons,All display properly,Course schema,Check structured data,1-on-1 format badge,Should show Private badge,,,,

http://nycstemclub.local/course-category/sat-act-prep/,Category Page,,,,,Category header with SAT/ACT title,Should display category name and description,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,Learn More buttons on each card,Each course card links correctly,N/A,N/A,All course card links - breadcrumbs,Each card opens correct course,N/A,N/A,Course featured images - category badges,All cards show images and SAT/ACT badge,N/A,N/A,All SAT/ACT courses listed,Verify all courses appear,,,,

http://nycstemclub.local/sat-act-faqs/,FAQ Page,,,,,FAQ page header,Title and intro text,N/A,,N/A,N/A,N/A,N/A,CTA at bottom,Links to enrollment,N/A,N/A,N/A,N/A,Links within FAQ answers,Internal links work,N/A,N/A,Any images,Images load,FAQ schema,FAQ structured data,All Q&A content,Answers accurate,,,,

ISEE PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://nycstemclub.local/isee-test-preparation/,Landing Page,,,,,Hero with ISEE title and stats,Should show ISEE track record,ISEE version displays,Check [why_choose_isee] content,Links to ISEE courses by level,Should show Lower/Middle/Upper options,Trustindex widget,Reviews widget loads,Multiple CTAs,All go to /student-enrollment/?course_name=ISEE,Links to level-specific courses,Course links work,N/A,N/A,Breadcrumbs - course links,All internal nav works,N/A,N/A,Hero image - icons,All load properly,Course schema - breadcrumbs,Valid structured data,Program details by level,Info accurate,,,,

http://nycstemclub.local/courses/lower-level-isee/,Course Page,,,,,Hero with course title - tagline - 4 stats,Lower Level ISEE stats,ISEE version displays,Should show [why_choose_isee],Related ISEE courses,Should show Middle/Upper options,Trustindex widget,Reviews load,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=Lower%20Level%20ISEE,Learn More on related,Links work,N/A,N/A,Breadcrumbs - related links,Navigate correctly,N/A,N/A,Featured image - stat icons,Display properly,Course schema,Structured data,Grade levels - schedule,Content accurate,,,,

http://nycstemclub.local/courses/middle-level-isee/,Course Page,,,,,Hero with course title - tagline - 4 stats,Middle Level ISEE stats,ISEE version displays,Should show [why_choose_isee],Related ISEE courses,Should show Lower/Upper options,Trustindex widget,Reviews load,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=Middle%20Level%20ISEE,Learn More on related,Links work,N/A,N/A,Breadcrumbs - related links,Navigate correctly,N/A,N/A,Featured image - stat icons,Display properly,Course schema,Structured data,Grade levels - schedule,Content accurate,,,,

http://nycstemclub.local/courses/upper-level-isee/,Course Page,,,,,Hero with course title - tagline - 4 stats,Upper Level ISEE stats,ISEE version displays,Should show [why_choose_isee],Related ISEE courses,Should show Lower/Middle options,Trustindex widget,Reviews load,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=Upper%20Level%20ISEE,Learn More on related,Links work,N/A,N/A,Breadcrumbs - related links,Navigate correctly,N/A,N/A,Featured image - stat icons,Display properly,Course schema,Structured data,Grade levels - schedule,Content accurate,,,,

http://nycstemclub.local/courses/isee-private-tutoring/,Course Page,,,,,Hero with course title - tagline - 4 stats,ISEE Private Tutoring stats,HIDDEN - Private Tutoring,Why Choose should be hidden,Related ISEE courses,Should show level options,Trustindex widget,Reviews load,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=ISEE%20Private,Learn More on related,Links work,N/A,N/A,Breadcrumbs - related links,Navigate correctly,N/A,N/A,Featured image - stat icons,Display properly,Course schema,Structured data,1-on-1 format badge,Should show Private badge,,,,

http://nycstemclub.local/course-category/isee-prep/,Category Page,,,,,Category header with ISEE title,Category name and description,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,Learn More buttons,Cards link correctly,N/A,N/A,All course card links,Cards open correct courses,N/A,N/A,Featured images - badges,Images and ISEE badges show,N/A,N/A,All ISEE courses listed,All levels appear,,,,

ACADEMIC ENRICHMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://nycstemclub.local/academic-enrichment/,Landing Page,,,,,Hero with Enrichment title,Enrichment program overview,Enrichment version displays,Check [why_choose_enrichment],Links to Math and ELA courses,Should show enrichment options,Trustindex widget if present,Reviews load,CTAs to enrollment,Link to /student-enrollment/,Links to Math/ELA pages,Subject links work,N/A,N/A,Breadcrumbs - course links,Nav works,N/A,N/A,Hero image - icons,Load properly,Breadcrumb schema,Structured data,Program overview,Content accurate,,,,

http://nycstemclub.local/math-enrichment/,Landing Page,,,,,Hero with Math Enrichment title,Math program overview,Enrichment version displays,Check [why_choose_enrichment],Links to Math courses by grade,Should show 3-5 and 6-8 options,Trustindex widget if present,Reviews load,CTAs to enrollment,Link to /student-enrollment/,Grade level course links,Course links work,N/A,N/A,Breadcrumbs - course links,Nav works,N/A,N/A,Hero image - icons,Load properly,Breadcrumb schema,Structured data,Math curriculum details,Content accurate,,,,

http://nycstemclub.local/ela-enrichment/,Landing Page,,,,,Hero with ELA Enrichment title,ELA program overview,Enrichment version displays,Check [why_choose_enrichment],Links to ELA courses by grade,Should show 3-5 and 6-8 options,Trustindex widget if present,Reviews load,CTAs to enrollment,Link to /student-enrollment/,Grade level course links,Course links work,N/A,N/A,Breadcrumbs - course links,Nav works,N/A,N/A,Hero image - icons,Load properly,Breadcrumb schema,Structured data,ELA curriculum details,Content accurate,,,,

http://nycstemclub.local/courses/math-enrichment-grades-3-5/,Course Page,,,,,Hero with title - tagline - stats,Math 3-5 stats,Enrichment version displays,Should show [why_choose_enrichment],Related enrichment courses,Should show other grade levels,Trustindex widget,Reviews load,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=Math%203-5,Learn More on related,Links work,N/A,N/A,Breadcrumbs - related links,Navigate correctly,N/A,N/A,Featured image - stat icons,Display properly,Course schema,Structured data,Grade levels - curriculum,Content accurate,,,,

http://nycstemclub.local/courses/math-enrichment-grades-6-8/,Course Page,,,,,Hero with title - tagline - stats,Math 6-8 stats,Enrichment version displays,Should show [why_choose_enrichment],Related enrichment courses,Should show other options,Trustindex widget,Reviews load,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=Math%206-8,Learn More on related,Links work,N/A,N/A,Breadcrumbs - related links,Navigate correctly,N/A,N/A,Featured image - stat icons,Display properly,Course schema,Structured data,Grade levels - curriculum,Content accurate,,,,

http://nycstemclub.local/courses/ela-enrichment-grades-3-5/,Course Page,,,,,Hero with title - tagline - stats,ELA 3-5 stats,Enrichment version displays,Should show [why_choose_enrichment],Related enrichment courses,Should show other grade levels,Trustindex widget,Reviews load,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=ELA%203-5,Learn More on related,Links work,N/A,N/A,Breadcrumbs - related links,Navigate correctly,N/A,N/A,Featured image - stat icons,Display properly,Course schema,Structured data,Grade levels - curriculum,Content accurate,,,,

http://nycstemclub.local/courses/ela-enrichment-grades-6-8/,Course Page,,,,,Hero with title - tagline - stats,ELA 6-8 stats,Enrichment version displays,Should show [why_choose_enrichment],Related enrichment courses,Should show other options,Trustindex widget,Reviews load,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=ELA%206-8,Learn More on related,Links work,N/A,N/A,Breadcrumbs - related links,Navigate correctly,N/A,N/A,Featured image - stat icons,Display properly,Course schema,Structured data,Grade levels - curriculum,Content accurate,,,,

http://nycstemclub.local/course-category/enrichment/,Category Page,,,,,Category header with Enrichment title,Category name and description,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,Learn More buttons,Cards link correctly,N/A,N/A,All course card links,Cards open correct courses,N/A,N/A,Featured images - badges,Images and badges show,N/A,N/A,All enrichment courses,All courses appear,,,,

COLLEGE COUNSELING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://nycstemclub.local/admissions-counseling/,Landing Page,,,,,Hero with College Counseling title,Admissions counseling overview,N/A or custom version,,Links to counseling course,Should show counseling options,Trustindex widget if present,Reviews load,CTAs to enrollment,Link to /student-enrollment/,Course link,Link works,N/A,N/A,Breadcrumbs - course links,Nav works,N/A,N/A,Hero image,Loads properly,Breadcrumb schema,Structured data,Counseling services,Content accurate,,,,

http://nycstemclub.local/courses/college-counseling/,Course Page,,,,,Hero with title - tagline - stats,College Counseling stats,N/A - special page,,University admissions section,Should show universities where students admitted,Trustindex widget,Reviews load,Hero CTA + Description CTA + Footer CTA,All go to /student-enrollment/?course_name=College%20Counseling,University links in admissions section,All university buttons work,https://www.harvard.edu/ https://www.princeton.edu/ https://www.upenn.edu/ https://www.cornell.edu/ https://www.uchicago.edu/ https://umich.edu/ https://www.gatech.edu/ https://www.purdue.edu/ https://www.tufts.edu/ https://www.babson.edu/ https://www.vanderbilt.edu/,All 11 university links open in new tab,Breadcrumbs - related links if any,Navigate correctly,N/A,N/A,Featured image - university logos,Display properly,Course schema,Structured data,Services - process - pricing,Content accurate,,,,

http://nycstemclub.local/course-category/admissions-counseling/,Category Page,,,,,Category header,Category name and description,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,Learn More buttons,Cards link correctly,N/A,N/A,All course card links,Cards open correct courses,N/A,N/A,Featured images - badges,Images and badges show,N/A,N/A,Counseling courses listed,Courses appear,,,,

AP COURSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://nycstemclub.local/course-category/ap/,Category Page,,,,,Category header with AP title,Category name and description,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,Learn More buttons,Cards link correctly,N/A,N/A,All course card links,Cards open correct courses,N/A,N/A,Featured images - badges,Images and AP badges show,N/A,N/A,All AP courses listed,All courses appear,,,,

COURSE ARCHIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://nycstemclub.local/courses/,Archive Page,,,,,Archive page header,All Courses title,N/A,,N/A,N/A,Trustindex widget at bottom,Reviews display,N/A,N/A,Search input - category dropdown - Learn More buttons,Search filters courses - dropdown filters by category - all card buttons link correctly,N/A,N/A,All course card links - breadcrumbs,Every card opens correct course page - no 404s,Search and filter,Search filters by title - category dropdown works,All course featured images - category badges - format badges,All cards show images and correct badges,N/A,N/A,All courses display,Verify all courses in database appear in grid,,,,

FORMS & ENROLLMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://nycstemclub.local/student-enrollment/,Form Page,,,,,Page header,Enrollment form title,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,Form submit button,Submit button works,N/A,N/A,Thank you page link if redirect,Redirect works after submit,Form validation and submission,All required fields validate - form submits - email notification sent - success message shows,Any images,Images load,N/A,N/A,Form labels - field names,All fields labeled correctly,,,,

http://nycstemclub.local/student-enrollment/?course_name=SHSAT,Form Page,,,,,Page header,Enrollment form title,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,Form submit button,Submit works,N/A,N/A,N/A,N/A,Form with course_name param,Course name field pre-fills or tracks SHSAT,Any images,Images load,N/A,N/A,SHSAT appears in form,Course name captured,,,,

http://nycstemclub.local/student-enrollment/?course_name=SAT,Form Page,,,,,Page header,Enrollment form title,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,Form submit button,Submit works,N/A,N/A,N/A,N/A,Form with course_name param,Course name field pre-fills or tracks SAT,Any images,Images load,N/A,N/A,SAT appears in form,Course name captured,,,,

http://nycstemclub.local/student-enrollment/?course_name=ISEE,Form Page,,,,,Page header,Enrollment form title,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,Form submit button,Submit works,N/A,N/A,N/A,N/A,Form with course_name param,Course name field pre-fills or tracks ISEE,Any images,Images load,N/A,N/A,ISEE appears in form,Course name captured,,,,

RESOURCES & BLOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://nycstemclub.local/resources/,Archive Page,,,,,Resources page header,Resources title,N/A,,N/A,N/A,N/A,N/A,CTAs if present,Link correctly,Resource links,All resource links work,N/A,N/A,All resource links,Navigate to correct resources,N/A,N/A,Any images,Images load,N/A,N/A,Resource listings,All resources display,,,,

http://nycstemclub.local/testing-timeline/,Resource Page,,,,,Timeline page header,Testing Timeline title,N/A,,Links to test prep courses,Should reference prep options,N/A,N/A,CTAs to courses,Link to enrollment,Course links,Links work,N/A,N/A,All internal links,Navigate correctly,N/A,N/A,Timeline graphics,Visuals load,N/A,N/A,Test dates and schedules,Info is current for 2024-2025,,,,

http://nycstemclub.local/blog/,Blog Archive,,,,,Blog archive header,Blog title,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,Read More buttons,Post links work,N/A,N/A,All post links - category links - tag links,All blog navigation works,N/A,N/A,Featured images,Post images load,N/A,N/A,Post listings,All posts display,,,,

FOOTER & LEGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://nycstemclub.local/privacy-policy/,Legal Page,,,,,Page header,Privacy Policy title,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Any internal links,Links work,N/A,N/A,Any images,Images load,N/A,N/A,Policy content - company info - date,Content current and accurate,,,,

http://nycstemclub.local/terms-of-service/,Legal Page,,,,,Page header,Terms of Service title,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Any internal links,Links work,N/A,N/A,Any images,Images load,N/A,N/A,Terms content - company info - date,Content current and accurate,,,,

SEO & TECHNICAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://nycstemclub.local/sitemap.xml,Technical,,,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,All URLs in sitemap,All pages included - no broken URLs,N/A,N/A,N/A,N/A,Valid XML sitemap,Sitemap format valid,All pages present,Verify courses and pages included,,,,

http://nycstemclub.local/robots.txt,Technical,,,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sitemap URL,Points to correct sitemap,N/A,N/A,N/A,N/A,Valid robots.txt,Format valid,Directives correct,Not blocking important pages,,,,

http://nycstemclub.local/nonexistent-page-test/,Error Page,,,,,404 page displays,Custom 404 with helpful message,N/A,,N/A,N/A,N/A,N/A,Link to homepage or search,Should have navigation options,Home link - search if available,User can navigate away,N/A,N/A,N/A,N/A,N/A,N/A,Any 404 images,Images load,N/A,N/A,404 message,Helpful and on-brand,,,,

ADMIN PANEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://nycstemclub.local/wp-admin/,Admin,,,,,Dashboard loads,WP Admin accessible,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,All admin menu items,Menu links work,N/A,N/A,All admin links,Navigate correctly,N/A,N/A,Admin images/icons,Display properly,N/A,N/A,User permissions,Correct roles and access,,,,

http://nycstemclub.local/wp-admin/edit.php?post_type=course,Admin,,,,,Course list displays,All courses in admin list,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,Edit - View - Delete buttons,Actions work correctly,N/A,N/A,Course edit links,Open correct editor,N/A,N/A,Featured images in list,Thumbnails display,N/A,N/A,All courses editable,Can edit any course,,,,

